SERVICEREQUESTID,STREETADDRESS,CITY,STATE,ZIPCODE,SERVICECODE,SERVICECODEDESCRIPTION,SERVICETYPECODEDESCRIPTION,ORGANIZATIONACRONYM,SERVICECALLCOUNT,ADDDATE,RESOLUTIONDATE,SERVICEDUEDATE,SERVICEORDERDATE,INSPECTIONFLAG,INSPECTIONDATE,INSPECTORNAME,SERVICEORDERSTATUS,STATUS_CODE,PRIORITY,DETAILS,WARD,XCOORD,YCOORD,LATITUDE,LONGITUDE,MARADDRESSREPOSITORYID,GIS_ID,GLOBALID,CREATED,EDITED,GDB_FROM_DATE,GDB_TO_DATE,GDB_ARCHIVE_OID,OBJECTID
25-00000023,1818 KALORAMA ROAD NW,WASHINGTON,DC,20009.0,S0261,Parking Enforcement,PEMA- Parking Enforcement Management Administration,DPW,1,1735716223000,1735719377000.0,1735802622000,1735716223000,,,,Closed,,Standard,,Ward 1,396320.33,139060.89,38.91941091,-77.04243149,235448,,{2AA431E0-F9D5-766F-E063-792F520A1480},,,1735748345000,253402300799000,4419216,11865573
25-00000024,1446 Q STREET NW,WASHINGTON,DC,20009.0,S0261,Parking Enforcement,PEMA- Parking Enforcement Management Administration,DPW,1,1735716305000,1735719162000.0,1735802705000,1735716305000,,,,Closed,,Standard,,Ward 2,397062.60000000003,138121.26,38.91094887,-77.03386811,225545,,{2AA431E0-F9D6-766F-E063-792F520A1480},,,1735748345000,253402300799000,4419217,11865574
25-00000026,700 7TH STREET SW,WASHINGTON,DC,20024.0,S0261,Parking Enforcement,PEMA- Parking Enforcement Management Administration,DPW,1,1735718537000,1735719116000.0,1735804937000,1735718537000,,,,Closed,,Standard,,Ward 6,398131.71,134716.86000000002,38.88028405,-77.02153206,145213,,{2AA431E0-F9D7-766F-E063-792F520A1480},,,1735748345000,253402300799000,4419218,11865575
25-00000027,637 K STREET NE,WASHINGTON,DC,20002.0,S0031,Bulk Collection,SWMA- Solid Waste Management Admistration,DPW,1,1735719408000,1737811549000.0,1736485140000,1735719408000,,,,Closed,,Standard,,Ward 6,400238.7,137154.59,38.902245980000004,-76.99724813,2407,,{2AA431E0-F9D8-766F-E063-792F520A1480},,,1735748345000,253402300799000,4419219,11865576
25-00000028,3133 CONNECTICUT AVENUE NW,WASHINGTON,DC,20008.0,S0406,Roadway Repair,SIOD,DDOT,1,1735720324000,,1769675524000,1735720324000,,,,In-Progress,,Standard,,Ward 3,395189.4,140450.31,38.93192178,-77.05548236,219703,,{2AA431E0-F9D9-766F-E063-792F520A1480},,,1735748345000,253402300799000,4419220,11865577
25-00000029,4937 BRANDYWINE STREET NW,WASHINGTON,DC,20016.0,S0031,Bulk Collection,SWMA- Solid Waste Management Admistration,DPW,1,1735720470000,1736510666000.0,1736571540000,1735720470000,,,,Closed,,Standard,,Ward 3,391478.86,142454.29,38.94994572,-77.09830219,269361,,{2AA431E0-F9DA-766F-E063-792F520A1480},,,1735748345000,253402300799000,4419221,11865578
25-00000031,1770 EUCLID STREET NW,WASHINGTON,DC,20009.0,S0261,Parking Enforcement,PEMA- Parking Enforcement Management Administration,DPW,1,1735720742000,1735732639000.0,1735807142000,1735720742000,,,,Closed,,Standard,,Ward 1,396383.72000000003,139433.19,38.92276497,-77.04170248,235625,,{2AA431E0-F9DB-766F-E063-792F520A1480},,,1735748345000,253402300799000,4419222,11865579
25-00000036,3416 23RD STREET SE,WASHINGTON,DC,20020.0,S0031,Bulk Collection,SWMA- Solid Waste Management Admistration,DPW,1,1735727589000,1737650464000.0,1736398740000,1735727589000,,,,Closed,,Standard,,Ward 8,402520.73,131050.92,38.84725778,-76.97096201,34987,,{2AA431E0-F9DC-766F-E063-792F520A1480},,,1735748345000,253402300799000,4419223,11865580
25-00000038,800 51ST STREET NE,WASHINGTON,DC,20019.0,S0441,Trash Collection - Missed,SWMA- Solid Waste Management Admistration,DPW,1,1735729713000,1736096500000.0,1735902512000,1735729713000,,,,Closed,,Standard,,Ward 7,406262.89,136901.57,38.89994407,-76.92780025,79542,,{2AA431E0-F9DD-766F-E063-792F520A1480},,,1735748345000,253402300799000,4419224,11865581
25-00000039,17TH STREET NW AND CONSTITUTION AVENUE NW,WASHINGTON,DC,20006.0,SIGTRAMA,Traffic Signal Issue,Toa- Trans Sys Mnt,DDOT,1,1735730862000,1735747396000.0,1735903662000,1735730862000,,,,Closed,,Standard,,Ward 2,396574.89001077,136029.05001168,38.89209973,-77.03948096,905336,,{2AA49D23-D104-580E-E063-792F520A6629},,,1735750138000,253402300799000,4419225,11865582
25-00000050,624 IRVING STREET NW,WASHINGTON,DC,20010.0,S0321,Recycling Collection - Missed,SWMA- Solid Waste Management Administration,DPW,1,1735737147000,1736085736000.0,1735909947000,1735737147000,,,,Closed,,Standard,,Ward 1,398113.07,140110.79,38.92887442,-77.0217617,229499,,{2AA5DF02-46C8-3B66-E063-782F520AF491},,,1735755552000,253402300799000,4419229,11865514
25-00000041,940 DIVISION AVENUE NE,WASHINGTON,DC,20019.0,S05SL,Streetlight Repair Investigation,Transportation Operations Administration,DDOT,1,1735733480000,1735950508000.0,1736511079000,1735733480000,,,,Closed,,Standard,,Ward 7,406574.98,137251.77,38.90309686,-76.92419906,82846,,{2AA53E1D-0215-481B-E063-782F520ABB4B},,,1735752848000,253402300799000,4419226,11865511
25-00000042,1735 17TH STREET NW,WASHINGTON,DC,20009.0,S0321,Recycling Collection - Missed,SWMA- Solid Waste Management Administration,DPW,1,1735733575000,1736089563000.0,1735906375000,1735733575000,,,,Closed,,Standard,,Ward 2,396686.36,138436.36000000002,38.91378639,-77.03820767,241968,,{2AA53E1D-0216-481B-E063-782F520ABB4B},,,1735752848000,253402300799000,4419227,11865512
25-00000049,3800 W STREET NW,WASHINGTON,DC,20007.0,S0459,Tree Removal,Urban Forrestry,DDOT,1,1735736336000,1739468922000.0,1758286736000,1735736336000,,,,Closed,,Standard,,Ward 3,393403.84,139007.55,38.91891336,-77.07606198,270798,,{2AA5DF02-46C7-3B66-E063-782F520AF491},,,1735755552000,253402300799000,4419228,11865513
25-00000051,4300 - 4399 BLOCK OF NEBRASKA AVENUE NW,WASHINGTON,DC,20016.0,SIGNMISS_v2,Roadway Signs,,DDOT,1,1735737535000,1736871246000.0,1752153535000,1735737535000,,,,Closed,,Standard,,Ward 3,393103.67,141942.30000000002,38.94534783,-77.0795528,808938,,{2AA64A3E-2D15-678E-E063-782F520A5E59},,,1735757320000,253402300799000,4419230,11865515
25-00000053,2232 QUINCY STREET NE,WASHINGTON,DC,20018.0,S0441,Trash Collection - Missed,SWMA- Solid Waste Management Admistration,DPW,1,1735737819000,1735837891000.0,1735910619000,1735737819000,,,,Closed,,Standard,,Ward 5,402381.0,141057.34,38.93740003,-76.97253697,49642,,{2AA64A3E-2D16-678E-E063-782F520A5E59},,,1735757320000,253402300799000,4419231,11865516
25-00000057,4432 VOLTA PLACE NW,WASHINGTON,DC,20007.0,PRUNING,Tree Pruning,Urban Forrestry,DDOT,1,1735738875000,1749648066000.0,1758289275000,1735738875000,,,,Closed,,Standard,,Ward 3,392901.39,137953.91,38.9094179,-77.08184496,270968,,{2AA67FE9-942F-702E-E063-792F520A0285},,,1735758224000,253402300799000,4419232,11865583
25-00000058,1348 C STREET NE,WASHINGTON,DC,20002.0,S0321,Recycling Collection - Missed,SWMA- Solid Waste Management Administration,DPW,1,1735739022000,1736707644000.0,1735911822000,1735739022000,,,,Canceled,,Standard,,Ward 6,401181.9,136209.2,38.8937288,-76.98637603,66431,,{2AA67FE9-9430-702E-E063-792F520A0285},,,1735758224000,253402300799000,4419233,11865584
25-00000062,43 V STREET NW,WASHINGTON,DC,20001.0,S0031,Bulk Collection,SWMA- Solid Waste Management Admistration,DPW,1,1735739550000,1736859379000.0,1736571540000,1735739550000,,,,Closed,,Standard,,Ward 5,399108.96,138938.75,38.91831789,-77.01027472,227768,,{2AA67FE9-9431-702E-E063-792F520A0285},,,1735758224000,253402300799000,4419234,11865585
25-00000066,1747 LANG PLACE NE,WASHINGTON,DC,20002.0,S0441,Trash Collection - Missed,SWMA- Solid Waste Management Admistration,DPW,1,1735740308000,1735837897000.0,1735913108000,1735740308000,,,,Closed,,Standard,,Ward 5,401953.98,137373.84,38.90421892,-76.97747281,56476,,{2AA6B589-6908-3D6B-E063-792F520AD498},,,1735759120000,253402300799000,4419237,11865588
25-00000064,1500 - 1599 BLOCK OF EATON ROAD SE,WASHINGTON,DC,,DCWFQ,DC Water - Customer Flooding,,DC Water,1,1735739907000,1735739907000.0,1735826307000,1735739907000,,,,Closed,,Standard,,Ward 8,-76.99609738,38.85824437,38.85824437,-76.99609738,805267,,{2AA6B589-6906-3D6B-E063-792F520AD498},,,1735759120000,253402300799000,4419235,11865586
25-00000065,6340 31ST PLACE NW,WASHINGTON,DC,20015.0,S0031,Bulk Collection,SWMA- Solid Waste Management Admistration,DPW,1,1735740150000,1736784998000.0,1736312340000,1735740150000,,,,Closed,,Standard,,Ward 4,394783.04000000004,145135.84,38.97412797,-77.06020469,260655,,{2AA6B589-6907-3D6B-E063-792F520AD498},,,1735759120000,253402300799000,4419236,11865587
25-00000067,1218 RANDOLPH STREET NE,WASHINGTON,DC,20017.0,S0477,Scheduled Yard Waste,SWMA- Solid Waste Management Administration,DPW,1,1735740379000,1738861275000.0,1738645140000,1735740379000,,,,Closed,,Standard,,Ward 5,400916.19,141183.78,38.93854179,-76.98943228,71202,,{2AA6B589-6909-3D6B-E063-792F520AD498},,,1735759120000,253402300799000,4419238,11865589
25-00000068,647 E STREET SE,WASHINGTON,DC,20003.0,S0451,Trash Cart - Delivery,SWMA- Solid Waste Management Admistration,DPW,1,1735740381000,1737112815000.0,1738245981000,1735740381000,,,,Closed,,Standard,,Ward 6,400279.16000000003,134966.65,38.8825362,-76.99678258,1709,,{2AA6B589-690A-3D6B-E063-792F520AD498},,,1735759120000,253402300799000,4419239,11865590
25-00000071,3214 9TH PLACE SE,WASHINGTON,DC,20032.0,S0031,Bulk Collection,SWMA- Solid Waste Management Admistration,DPW,1,1735740892000,1737647463000.0,1736398740000,1735740892000,,,,Closed,,Standard,,Ward 8,400610.82,130605.63,38.84325014,-76.99296395,38357,,{2AA6EB47-C381-2BF8-E063-782F520AE0F4},,,1735760026000,253402300799000,4419241,11865518
25-00000070,1 17TH STREET SW,WASHINGTON,DC,20004.0,DOCVEH2022,Dockless Vehicle Parking Complaint,,DDOT,1,1735740863000,1735741392000.0,1735913663000,1735740863000,,,,Closed,,Standard,,Ward 2,396517.16000000003,135732.79,38.88943069,-77.0401449,313460,,{2AA6EB47-C380-2BF8-E063-782F520AE0F4},,,1735760026000,253402300799000,4419240,11865517
25-00000072,3615 PATTERSON STREET NW,WASHINGTON,DC,20015.0,S0031,Bulk Collection,SWMA- Solid Waste Management Admistration,DPW,1,1735741045000,1736867803000.0,1736571540000,1735741045000,,,,Closed,,Standard,,Ward 3,393667.47000000003,144436.38,38.96781973,-77.07307211,263912,,{2AA6EB47-C382-2BF8-E063-782F520AE0F4},,,1735760026000,253402300799000,4419242,11865519
25-00000073,510 9TH STREET SE,WASHINGTON,DC,20003.0,S0477,Scheduled Yard Waste,SWMA- Solid Waste Management Administration,DPW,1,1735741110000,1739808102000.0,1739577540000,1735741110000,,,,Closed,,Standard,,Ward 6,400562.60000000003,134936.37,38.88226329,-76.99351585,13696,,{2AA6EB47-C383-2BF8-E063-782F520AE0F4},,,1735760026000,253402300799000,4419243,11865520
25-00000074,3240 O STREET NW,WASHINGTON,DC,20007.0,S0361,Sidewalk Repair,Toa-Street & Bridge Maintenance,DDOT,1,1735741451000,,1769696651000,1735741451000,,,,In-Progress,,Standard,,Ward 2,394363.14,137737.66,38.90748044,-77.06498963,272132,,{2AA720D6-78AC-2C46-E063-792F520A767C},,,1735760937000,253402300799000,4419245,11865591
25-00000076,2202 LAWRENCE STREET NE,WASHINGTON,DC,20018.0,S0031,Bulk Collection,SWMA- Solid Waste Management Admistration,DPW,1,1735741477000,1736865995000.0,1736571540000,1735741477000,,,,Closed,,Standard,,Ward 5,402269.02,140494.62,38.93233118,-76.97383044,50579,,{2AA6EB47-C384-2BF8-E063-782F520AE0F4},,,1735760026000,253402300799000,4419244,11865889
25-00000077,3800 - 3899 BLOCK OF W STREET NW,WASHINGTON,DC,20007.0,S0459,Tree Removal,Urban Forrestry,DDOT,1,1735741532000,1739468928000.0,1758291932000,1735741532000,,,,Closed,,Standard,,Ward 3,393362.08,139036.59,38.91917431,-77.07654381,813964,,{2AA720D6-78AD-2C46-E063-792F520A767C},,,1735760937000,253402300799000,4419246,11865592
25-00000079,21ST STREET NW AND E STREET NW,WASHINGTON,DC,20037.0,SIGTRAMA,Traffic Signal Issue,Toa- Trans Sys Mnt,DDOT,1,1735741606000,1735751592000.0,1735914406000,1735741606000,,,,Closed,,Standard,,Ward 2,395951.4374982,136464.60937207,38.89602076,-77.04667001,901885,,{2AA720D6-78AE-2C46-E063-792F520A767C},,,1735760937000,253402300799000,4419247,11865593
25-00000081,1025 KENYON STREET NW,WASHINGTON,DC,20010.0,S0031,Bulk Collection,SWMA- Solid Waste Management Admistration,DPW,1,1735741664000,1736784422000.0,1736294340000,1735741664000,,,,Closed,,Standard,,Ward 1,397641.39,140224.36000000002,38.92989636,-77.02720191,231205,,{2AA720D6-78AF-2C46-E063-792F520A767C},,,1735760937000,253402300799000,4419248,11865594
25-00000082,1600 3RD STREET NW,WASHINGTON,DC,20001.0,S0181,Illegal Dumping,SWMA- Solid Waste Management Admistration,DPW,1,1735741710000,1735922891000.0,1737469710000,1735741710000,,,,Closed,,Standard,,Ward 5,398659.08,138156.44,38.91126967,-77.01546083,237625,,{2AA720D6-78B0-2C46-E063-792F520A767C},,,1735760937000,253402300799000,4419249,11865595
25-00000083,3421 OAKWOOD TERRACE NW,WASHINGTON,DC,20010.0,ILLEGALCON,DOB - Illegal Construction,Department of Buildings (DOB),DOB,1,1735741748000,1736518433000.0,1740061747000,1735741748000,,,,Closed,,Standard,,Ward 1,396677.86,140756.74,38.93468908,-77.0383169,234062,,{2AA720D6-78B1-2C46-E063-792F520A767C},,,1735760937000,253402300799000,4419250,11865596
25-00000084,4519 NEW HAMPSHIRE AVENUE NW,WASHINGTON,DC,20011.0,S0031,Bulk Collection,SWMA- Solid Waste Management Admistration,DPW,1,1735741800000,1736806633000.0,1736830740000,1735741800000,,,,Closed,,Standard,,Ward 4,398542.3,142008.01,38.94596596,-77.01681548,243970,,{2AA720D6-78B2-2C46-E063-792F520A767C},,,1735760937000,253402300799000,4419251,11865597
25-00000087,4028 24TH STREET NE,WASHINGTON,DC,20018.0,S0181,Illegal Dumping,SWMA- Solid Waste Management Admistration,DPW,1,1735742174000,1737116766000.0,1737470174000,1735742174000,,,,Closed (Duplicate),,Standard,,Ward 5,402390.05,141289.88,38.9394948,-76.97243178,27680,,{2AA720D6-78B4-2C46-E063-792F520A767C},,,1735760937000,253402300799000,4419253,11865599
25-00000086,123 TENNESSEE AVENUE NE,WASHINGTON,DC,20002.0,S0477,Scheduled Yard Waste,SWMA- Solid Waste Management Administration,DPW,1,1735742151000,1739570461000.0,1739595540000,1735742151000,,,,Closed,,Standard,,Ward 6,400957.8,135898.87,38.890933509999996,-76.9889597,70527,,{2AA720D6-78B3-2C46-E063-792F520A767C},,,1735760937000,253402300799000,4419252,11865598
25-00000093,706 46TH STREET SE,WASHINGTON,DC,20019.0,DCGOVTINFO,DC Government Information,311- Call Center,OUC,1,1735742766000,1735742766000.0,1735829166000,1735742766000,,,,Closed,,Standard,,Ward 7,405570.2,134681.0,38.87994535,-76.9358037,76524,,{2AA7567E-463E-2408-E063-792F520A3518},,,1735761825000,253402300799000,4419257,11865603
25-00000089,10 DANIEL C FRENCH DRIVE SW,WASHINGTON,DC,20004.0,DOCVEH2022,Dockless Vehicle Parking Complaint,,DDOT,1,1735742454000,1735742892000.0,1735915254000,1735742454000,,,,Closed,,Standard,,Ward 2,395852.32,135554.45,38.88782125,-77.0478071,313461,,{2AA7567E-463B-2408-E063-792F520A3518},,,1735761825000,253402300799000,4419254,11865600
25-00000090,3301 NEBRASKA AVENUE NW,WASHINGTON,DC,20016.0,S0457,Tree Inspection,Urban Forrestry,DDOT,1,1735742470000,1735746793000.0,1736347270000,1735742470000,,,,Closed,,Standard,,Ward 3,392203.21,140646.82,38.93367058,-77.08992536,265194,,{2AA7567E-463C-2408-E063-792F520A3518},,,1735761825000,253402300799000,4419255,11865601
25-00000092,2327 15TH PLACE SE,WASHINGTON,DC,20020.0,S0031,Bulk Collection,SWMA- Solid Waste Management Admistration,DPW,1,1735742751000,1737652864000.0,1736398740000,1735742751000,,,,Closed,,Standard,,Ward 8,401227.43,132240.38,38.85797604,-76.98585828,48368,,{2AA7567E-463D-2408-E063-792F520A3518},,,1735761825000,253402300799000,4419256,11865602
25-00000094,2 DANIEL C FRENCH DRIVE SW,WASHINGTON,DC,20004.0,DOCVEH2022,Dockless Vehicle Parking Complaint,,DDOT,1,1735742840000,1735743191000.0,1735915640000,1735742840000,,,,Closed,,Standard,,Ward 2,395744.78,135624.07,38.8884479,-77.04904706,313463,,{2AA7567E-463F-2408-E063-792F520A3518},,,1735761825000,253402300799000,4419258,11865604
25-00000096,2 DANIEL C FRENCH DRIVE SW,WASHINGTON,DC,20004.0,DOCVEH2022,Dockless Vehicle Parking Complaint,,DDOT,1,1735743051000,1735743491000.0,1735915851000,1735743051000,,,,Closed,,Standard,,Ward 2,395744.78,135624.07,38.8884479,-77.04904706,313463,,{2AA78C1C-C36E-64D5-E063-792F520A53D6},,,1735762738000,253402300799000,4419261,11865607
25-00000097,647 KEEFER PLACE NW,WASHINGTON,DC,20010.0,S0346,Sanitation Enforcement,SWMA- Solid Waste Management Admistration,DPW,1,1735743173000,1735840266000.0,1736347973000,1735743173000,,,,Closed,,Standard,,Ward 1,398009.56,140326.1,38.93081377,-77.02295609,228949,,{2AA7567E-4640-2408-E063-792F520A3518},,,1735761825000,253402300799000,4419259,11865605
25-00000099,522 48TH PLACE NE,WASHINGTON,DC,20019.0,S0451,Trash Cart - Delivery,SWMA- Solid Waste Management Admistration,DPW,1,1735743369000,1737112803000.0,1738248969000,1735743369000,,,,Closed,,Standard,,Ward 7,405705.21,136440.79,38.895797,-76.93423311,11442,,{2AA7567E-4641-2408-E063-792F520A3518},,,1735761825000,253402300799000,4419260,11865606
25-00000100,2 DANIEL C FRENCH DRIVE SW,WASHINGTON,DC,20004.0,DOCVEH2022,Dockless Vehicle Parking Complaint,,DDOT,1,1735743385000,1735743791000.0,1735916185000,1735743385000,,,,Closed,,Standard,,Ward 2,395744.78,135624.07,38.8884479,-77.04904706,313463,,{2AA78C1C-C36F-64D5-E063-792F520A53D6},,,1735762738000,253402300799000,4419262,11865608
25-00000101,3215 14TH STREET NE,WASHINGTON,DC,20017.0,S0316,Recycling Cart Delivery,SWMA- Solid Waste Management Admistration,DPW,1,1735743750000,1737112905000.0,1738249349000,1735743750000,,,,Closed,,Standard,,Ward 5,401221.97000000003,140264.83000000002,38.93026324,-76.98590692,38380,,{2AA78C1C-C370-64D5-E063-792F520A53D6},,,1735762738000,253402300799000,4419263,11865609
25-00000102,TAYLOR STREET NW AND 8TH STREET NW,WASHINGTON,DC,20011.0,S0181,Illegal Dumping,SWMA- Solid Waste Management Admistration,DPW,1,1735743806000,1737918715000.0,1737471806000,1735743806000,,,,Closed,,Standard,,Ward 4,397980.23999608,141441.39001669,38.94086024,-77.02329753,905850,,{2AA78C1C-C371-64D5-E063-792F520A53D6},,,1735762738000,253402300799000,4419264,11865610
25-00000103,79 U STREET NW,WASHINGTON,DC,20001.0,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,1735743884000,1735921564000.0,1736348684000,1735743884000,,,,Closed,,Standard,,Ward 5,398987.66000000003,138810.01,38.91715769,-77.01167326,312813,,{2AA78C1C-C372-64D5-E063-792F520A53D6},,,1735762738000,253402300799000,4419265,11865611
25-00000104,516 59TH STREET NE,WASHINGTON,DC,20019.0,S0441,Trash Collection - Missed,SWMA- Solid Waste Management Admistration,DPW,1,1735744141000,1736096505000.0,1735916941000,1735744141000,,,,Closed,,Standard,,Ward 7,407228.25,136497.13,38.89629366,-76.91667566,12243,,{2AA78C1C-C373-64D5-E063-792F520A53D6},,,1735762738000,253402300799000,4419266,11865612
25-00000105,2009 18TH STREET SE,WASHINGTON,DC,20020.0,S0181,Illegal Dumping,SWMA- Solid Waste Management Admistration,DPW,1,1735744180000,1737922957000.0,1737472180000,1735744180000,,,,Closed,,Standard,,Ward 8,401794.35000000003,132950.78,38.86437431,-76.97932471,53080,,{2AA78C1C-C374-64D5-E063-792F520A53D6},,,1735762738000,253402300799000,4419267,11865613
25-00000107,4907 POTOMAC AVENUE NW,WASHINGTON,DC,20007.0,S0031,Bulk Collection,SWMA- Solid Waste Management Admistration,DPW,1,1735744237000,1736864835000.0,1736571540000,1735744237000,,,,Closed,,Standard,,Ward 3,391359.84,139061.0,38.9193768,-77.09963251,224739,,{2AA78C1C-C375-64D5-E063-792F520A53D6},,,1735762738000,253402300799000,4419268,11865614
25-00000108,4920 B STREET SE,WASHINGTON,DC,20019.0,S0457,Tree Inspection,Urban Forrestry,DDOT,1,1735744432000,1735833502000.0,1736349232000,1735744432000,,,,Closed,,Standard,,Ward 7,405924.01,135466.92,38.88702291,-76.93171929,16219,,{2AA7C1E0-D1A0-3951-E063-782F520A2735},,,1735763627000,253402300799000,4419269,11865890
